Designator,Mid X,Mid Y,Rotation,Layer
C1,129.01994,-44.3583,90.0,bottom
C10,80.65,-34.35,0.0,bottom
C11,151.63,-36.55,270.0,bottom
C14,86.72,-38.72,270.0,bottom
C15,90.27,-32.34,180.0,bottom
C19,122.71,-49.54,270.0,bottom
C2,154.675,-40.625,0.0,bottom
C20,136.475,-46.34,90.0,bottom
C21,137.74484,-41.7294,270.0,bottom
C3,154.7,-35.225,180.0,bottom
C4,125.91,-49.54,270.0,bottom
C5,146.26,-41.165,180.0,bottom
C6,78.76,-34.365,180.0,bottom
C8,129.135,-49.54,270.0,bottom
C9,119.485,-49.54,270.0,bottom
D12,68.84,-47.41,0.0,top
D13,68.83,-48.9,180.0,top
D14,68.86,-34.015,0.0,top
D16,68.84,-50.38,180.0,top
D17,151.84,-42.28,270.0,bottom
D3,154.64,-32.93,0.0,bottom
D31,154.67,-43.2475,180.0,bottom
D32,68.86,-35.515,0.0,top
D33,68.86,-37.015,0.0,top
D34,68.835,-38.49,0.0,top
D35,68.835,-39.965,0.0,top
D36,68.835,-41.44,0.0,top
D37,68.835,-42.915,0.0,top
D38,68.835,-44.415,0.0,top
D4,154.64,-30.31,0.0,bottom
D5,85.26,-38.91,270.0,top
D6,145.38456,-32.532,180.0,bottom
D8,102.653,-38.96662,270.0,top
D9,145.37948,-30.21044,0.0,bottom
IC1,140.24166,-42.36948,270.0,bottom
IC3,75.9827,-38.9367,180.0,bottom
J1,90.14,-50.22,270.0,top
J2,115.55286,-27.19118,90.0,bottom
J3,102.99256,-49.7921,270.0,top
JP1,77.5,-50.2,270.0,top
Q1,138.45,-31.8,0.0,bottom
R1,94.59,-33.13,90.0,bottom
R10,117.7144,-34.9458,270.0,bottom
R11,119.1876,-34.9458,270.0,bottom
R12,92.6192,-35.0728,90.0,bottom
R13,151.63,-33.51,90.0,bottom
R14,151.63,-30.515,90.0,bottom
R17,133.78752,-42.1866,180.0,bottom
R18,115.5681,-48.0395,0.0,bottom
R19,95.87,-33.14,90.0,bottom
R2,116.2158,-34.9458,270.0,bottom
R20,75.1,-30.48,90.0,bottom
R21,115.5681,-49.5127,180.0,bottom
R22,148.58,-30.49,90.0,bottom
R23,138.69,-47.09,0.0,bottom
R24,68.84,-48.91,0.0,bottom
R25,85.26,-42.56,90.0,bottom
R26,134.4905,-32.6717,180.0,bottom
R27,141.65,-47.09,0.0,bottom
R28,68.842,-50.37928,0.0,bottom
R29,90.835,-30.015,180.0,bottom
R3,143.96978,-35.38188,270.0,bottom
R30,68.85,-47.42,180.0,bottom
R31,144.09,-46.14,90.0,bottom
R32,134.4905,-30.2714,180.0,bottom
R33,135.3541,-34.6021,180.0,bottom
R34,135.3668,-36.0753,180.0,bottom
R35,139.4054,-34.7036,270.0,bottom
R36,120.6608,-34.9458,270.0,bottom
R37,126.17,-39.84,180.0,bottom
R38,86.73,-42.57,90.0,bottom
R39,119.085,-46.165,0.0,bottom
R4,146.89332,-35.3895,270.0,bottom
R5,148.3589,-35.3895,270.0,bottom
R6,145.43282,-35.3895,270.0,bottom
R7,148.36652,-38.35622,90.0,bottom
R8,143.97232,-38.34352,90.0,bottom
R9,142.185,-30.765,270.0,bottom
RN3,72.035,-42.14,90.0,bottom
RN4,72.06,-36.265,90.0,bottom
U1,95.22,-30.6,270.0,bottom
U15,133.68418,-42.16882,90.0,top
U3,133.7,-45.5525,0.0,bottom
U4,146.15164,-38.2597,90.0,bottom
U5,154.55,-37.925,180.0,bottom
U6,85.71,-34.15,0.0,bottom
U8,124.31332,-44.06366,180.0,bottom
X1,79.575,-32.125,180.0,bottom
