Designator,Value,Package,Mid X,Mid Y,Rotation,Side
C1,10uF,C_1206_3216Metric,129.05994,-33.0817,270,top
C2,10uF,C_0805,154.74188,-36.94684,180,top
C3,10uF,C_0805,154.74188,-42.31386,0,top
C4,10uF,C_1206_3216Metric,125.95,-27.9,90,top
C5,1uF,C_0603_1608Metric,146.3,-36.275,0,top
C6,100nF,C_0402_1005Metric,78.8,-43.075,0,top
C8,10uF,C_1206_3216Metric,129.175,-27.9,90,top
C9,10uF,C_1206_3216Metric,119.525,-27.9,90,top
C10,100nF,C_0402_1005Metric,80.69,-43.09,180,top
C11,100nF,C_0603_1608Metric,151.67,-40.89,90,top
C14,100nF,C_0402_1005Metric,86.76,-38.72,90,top
C15,100nF,C_0402_1005Metric,90.31,-45.1,0,top
C19,10uF,C_1206_3216Metric,122.75,-27.9,90,top
C20,100nF,C_0603_1608Metric,136.42,-31.1,270,top
C21,1uF,C_0603_1608Metric,137.78484,-35.7106,90,top
D3,BAT54S,SOT-323_SC-70,154.68,-44.51,0,top
D4,BAT54S,SOT-323_SC-70,154.68,-47.13,0,top
D6,SS34FA,D_SOD-123F,145.42456,-44.908,0,top
D9,SS34FA,D_SOD-123F,145.41948,-47.22956,180,top
D17,D_Schottky_Small,D_MiniMELF,151.88,-35.16,90,top
D31,BAT54C,SOT-23,154.7368,-34.35858,90,top
IC1,BD63573NUV-E2,VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm,140.28166,-35.07052,0,top
IC3,"74HC595BQ,115",74HC595BQ115,76.0227,-38.5033,270,top
Q1,BC847BDW1T1G,SOT-363_SC-70-6,138.5691,-45.6446,0,top
R1,3.3k,R_0402_1005Metric,94.63,-44.31,270,top
R2,100k,R_0603_1608Metric,116.2558,-42.4942,90,top
R3,1k,R_0603_1608Metric,144.00978,-42.05812,90,top
R4,1k,R_0603_1608Metric,146.93332,-42.0505,90,top
R5,1k,R_0603_1608Metric,148.3989,-42.0505,90,top
R6,1k,R_0603_1608Metric,145.47282,-42.0505,90,top
R7,82k,R_0603_1608Metric,148.40652,-39.08378,270,top
R8,82k,R_0603_1608Metric,144.01232,-39.09648,270,top
R9,22,R_0805_2012Metric,142.225,-46.675,90,top
R10,56k,R_0603_1608Metric,117.7544,-42.4942,90,top
R11,33k,R_0603_1608Metric,119.2276,-42.4942,90,top
R12,10k,R_0603_1608Metric,92.6592,-42.3672,270,top
R13,220k,R_0603_1608Metric,151.67,-43.93,270,top
R14,9.1k,R_0603_1608Metric,151.67,-46.925,270,top
R15,10k,R_0603_1608Metric,119.12524,-32.76884,180,top
R16,10k,R_0603_1608Metric,119.12524,-34.24884,180,top
R17,0.05,R_2010_5025Metric,133.82752,-35.2534,0,top
R18,220k,R_0603_1608Metric,115.6081,-29.4005,180,top
R19,3.3k,R_0402_1005Metric,95.91,-44.3,270,top
R20,100,R_0603_1608Metric,75.14,-46.96,270,top
R21,9.1k,R_0603_1608Metric,115.6081,-27.9273,0,top
R22,100k,R_0603_1608Metric,148.62,-46.95,270,top
R23,9.1k,R_0603_1608Metric,138.73,-30.35,180,top
R24,3.3k,R_0603_1608Metric,68.92,-28.53,180,top
R25,3.3k,R_0603_1608Metric,85.3,-34.88,270,top
R26,300,L_1206_3216Metric,134.5305,-44.7683,0,top
R27,220k,R_0603_1608Metric,141.69,-30.35,180,top
R28,3.3k,R_0603_1608Metric,68.922,-27.06072,180,top
R29,4.7k,R_0603_1608Metric,90.875,-47.425,0,top
R30,3.3k,R_0603_1608Metric,68.93,-30.02,0,top
R31,10k,R_0805_2012Metric,144.13,-31.3,270,top
R32,300,L_1206_3216Metric,134.5305,-47.1686,0,top
R33,1k,R_0603_1608Metric,135.3941,-42.8379,0,top
R34,1k,R_0603_1608Metric,135.4068,-41.3647,0,top
R35,10k,R_0603_1608Metric,139.4454,-42.7364,90,top
R36,22k,R_0603_1608Metric,120.7008,-42.4942,90,top
R37,22k,R_0603_1608Metric,126.21,-37.6,0,top
R38,22k,R_0603_1608Metric,86.77,-34.87,270,top
R39,3.3k,R_0603_1608Metric,119.125,-31.275,180,top
R46,10k,R_0603_1608Metric,141.71362,-42.81758,0,top
RN3,4.7k,R_Array_Convex_4x0603,72.075,-35.3,90,top
RN4,4.7k,R_Array_Convex_4x0603,72.1,-41.175,90,top
U1,74AHC1G08,SOT-353_SC-70-5,95.26,-46.84,90,top
U3,INA181A1,SOT-23-6,133.7691,-31.87266,0,top
U4,LM393,DFN-8-1EP_NG_2x2mm_Pitch0.5mm,146.19164,-39.1803,270,top
U5,MIC5235-3.3,SOT-23-5,154.58948,-39.62908,180,top
U6,AVR64DA48,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,85.75,-43.29,90,top
U8,OPA521,QFN-20-1EP_5x5mm_P0.65mm_EP3.35x3.35mm,124.35332,-33.37634,270,top
X1,ASE-24MHz,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,79.62,-45.27,0,top
